time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T11:15:45.200Z,36.6448326,-121.2651672,6.29,2.58,md,38,88,0.05229,0.1,nc,nc73471866,2020-10-17T13:39:19.214Z,earthquake,0.26,0.83,0.18,39,automatic,nc,nc
2020-10-17T11:13:15.585Z,63.2633,-151.7731,11.1,1.6,ml,,,,0.53,ak,ak020ddg0kq3,2020-10-17T12:25:45.831Z,earthquake,,0.3,,,automatic,ak,ak
2020-10-17T11:03:46.130Z,61.4431,-150.1103,35.9,1.4,ml,,,,0.67,ak,ak020ddfyi27,2020-10-17T11:11:18.471Z,earthquake,,0.8,,,automatic,ak,ak
2020-10-17T10:58:03.890Z,33.3773333,-116.2648333,7.17,0.63,ml,17,149,0.1677,0.16,ci,ci39666016,2020-10-17T11:01:38.010Z,earthquake,0.45,1.42,0.169,13,automatic,ci,ci
2020-10-17T10:55:57.590Z,38.7998352,-122.8164978,2.82,0.76,md,13,81,0.0134,0.02,nc,nc73471851,2020-10-17T11:12:04.431Z,earthquake,0.37,0.72,0.15,2,automatic,nc,nc
2020-10-17T10:55:35.070Z,37.5166667,-118.7916667,2.88,2.25,md,25,121,0.06119,0.04,nc,nc73471846,2020-10-17T16:45:06.992Z,earthquake,0.29,0.7,0.198,25,reviewed,nc,nc
2020-10-17T10:51:55.721Z,66.2463,-157.1975,0,2.5,ml,,,,0.66,ak,ak020ddfndkj,2020-10-17T11:35:25.040Z,earthquake,,0.4,,,automatic,ak,ak
2020-10-17T10:51:51.150Z,38.2113,-117.9122,12,0.8,ml,14,119.15,0.042,0.06,nn,nn00779106,2020-10-17T10:56:47.716Z,earthquake,,1.9,,,automatic,nn,nn
2020-10-17T10:50:23.860Z,33.5946667,-116.806,4.55,0.27,ml,19,92,0.03499,0.25,ci,ci39666000,2020-10-17T10:54:10.415Z,earthquake,0.53,0.71,0.136,11,automatic,ci,ci
2020-10-17T10:49:20.523Z,-54.6267,-132.9391,10,5.4,mww,,73,29.597,0.74,us,us6000c8z4,2020-10-17T12:53:03.442Z,earthquake,11.8,1.8,0.093,11,reviewed,us,us
2020-10-17T10:49:15.745Z,61.5037,-149.9082,36,1.2,ml,,,,0.76,ak,ak020ddfmv1y,2020-10-17T10:51:45.772Z,earthquake,,1.2,,,automatic,ak,ak
2020-10-17T10:48:31.330Z,40.1072,-119.9148,17.2,1.6,ml,11,185.41,0.154,0.14,nn,nn00779103,2020-10-17T10:52:47.548Z,earthquake,,1.5,,,automatic,nn,nn
2020-10-17T10:46:12.842Z,10.8712,-63.7634,10,4.5,mb,,98,4.546,0.48,us,us6000c8z7,2020-10-17T15:34:24.123Z,earthquake,6.3,1.9,0.191,8,reviewed,us,us
2020-10-17T10:45:43.980Z,35.0628333,-119.2235,18.39,1.24,ml,11,187,0.1981,0.21,ci,ci39665992,2020-10-17T10:49:28.944Z,earthquake,1.4,1.91,0.192,15,automatic,ci,ci
2020-10-17T10:44:59.680Z,19.41200066,-155.659668,0.50999999,1.82000005,md,19,144,,0.270000011,hv,hv72184491,2020-10-17T10:48:02.420Z,earthquake,0.72,2.06999993,0.660000026,7,automatic,hv,hv
2020-10-17T10:40:14.470Z,19.40183258,-155.6215057,-2.5,2.13,ml,33,70,,0.389999986,hv,hv72184486,2020-10-17T10:45:47.130Z,earthquake,0.65,0.389999986,0.28,7,automatic,hv,hv
2020-10-17T10:35:55.040Z,32.7496667,-115.8235,4.44,0.94,ml,17,80,0.07799,0.21,ci,ci39665984,2020-10-17T10:39:31.985Z,earthquake,0.43,1.37,0.168,11,automatic,ci,ci
2020-10-17T10:35:15.070Z,33.7751667,-116.9543333,15.33,0.78,ml,18,69,0.07758,0.21,ci,ci39665976,2020-10-17T10:39:00.175Z,earthquake,0.42,0.84,0.181,22,automatic,ci,ci
2020-10-17T10:30:16.230Z,33.5996667,-116.8048333,5.75,0.21,ml,11,90,0.03452,0.08,ci,ci39665968,2020-10-17T10:33:58.855Z,earthquake,0.34,0.47,0.212,6,automatic,ci,ci
